Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
197,"E Shaffer, M Garland",Efficient adaptive simplification of massive meshes,2001,"Proceedings Visualization, 2001. VIS'01.",ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/964503/,"https://scholar.google.com/scholar?cites=7705211767849416822&as_sdt=2005&sciodt=0,5&hl=en",197,10.37,99,2,19,"The growing availability of massive polygonal models, and the inability of most existing visualization tools to work with such data, has created a pressing need for memory-efficient methods capable of simplifying very large meshes. In this paper, we present a method for …"
104,"M Garland, E Shaffer",A multiphase approach to efficient surface simplification,2002,"IEEE Visualization, 2002. VIS 2002.",ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/1183765/,"https://scholar.google.com/scholar?cites=12651350243711668936&as_sdt=2005&sciodt=0,5&hl=en",104,5.78,52,2,18,We present a new multiphase method for efficiently simplifying polygonal surface models of arbitrary size. It operates by combining an initial out-of-core uniform clustering phase with a subsequent in-core iterative edge contraction phase. These two phases are both driven by …
65,"E Shaffer, M Garland",A multiresolution representation for massive meshes,2005,IEEE Transactions on Visualization and …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/1388225/,"https://scholar.google.com/scholar?cites=6547493499255027566&as_sdt=2005&sciodt=0,5&hl=en",65,4.33,33,2,15,We present a new external memory multiresolution surface representation for massive polygonal meshes. Previous methods for building such data structures have relied on resampled surface data or employed memory intensive construction algorithms that do not …
61,"E Shaffer, DA Reed, S Whitmore, B Schaeffer",Virtue: Performance visualization of parallel and distributed applications,1999,Computer,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/809250/,"https://scholar.google.com/scholar?cites=4298200518577127944&as_sdt=2005&sciodt=0,5&hl=en",61,2.9,15,4,21,"High-speed, wide-area networks have made it both possible and desirable to interconnect geographically distributed applications that control distributed collections of scientific data, remote scientific instruments and high-performance computer systems. Historically …"
37,"DA Reed, RA Aydt, L DeRose…",Performance analysis of parallel systems: Approaches and open problems,1998,Proceedings of the …,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/ccfa/6b2e4781f420521a41eb20f217a819fbedf2.pdf,"https://scholar.google.com/scholar?cites=12062592952451895078&as_sdt=2005&sciodt=0,5&hl=en",37,1.68,9,4,22,"Parallel computing is rapidly evolving to include heterogeneous collections of distributed and parallel systems. Concurrently, applications are becoming increasingly multidisciplinary with code libraries implemented using diverse programming models. To optimize the …"
22,"G Zagaris, MT Campbell, DJ Bodony, E Shaffer…",A toolkit for parallel overset grid assembly targeting large-scale moving body aerodynamic simulations,2010,Proceedings of the 19th …,Springer,https://link.springer.com/chapter/10.1007/978-3-642-15414-0_23,"https://scholar.google.com/scholar?cites=814543855560628277&as_sdt=2005&sciodt=0,5&hl=en",22,2.2,4,5,10,"Summary The Overset (Chimera) Grid approach has many practical benefits for unsteady moving grid simulations. However, an inherent requirement and challenge is the need to establish the inter-grid communication and donor-receiver pairs where the solution must be …"
15,"L De Rose, M Pantano, RA Aydt…",An approach to immersive performance visualization of parallel and wide-area distributed applications,1999,… Symposium on High …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/805304/,"https://scholar.google.com/scholar?cites=7686667576727538002&as_sdt=2005&sciodt=0,5&hl=en",15,0.71,4,4,21,"Complex, distributed applications pose new challenges for performance analysis and optimization. This paper outlines an online approach to performance analysis where developers are active participants, using integrated measurement and immersive …"
12,E Shaffer,Institutionalization of usability,2004,,Addison Wesley Professional …,,"https://scholar.google.com/scholar?cites=17514211073288116853&as_sdt=2005&sciodt=0,5&hl=en",12,0.75,12,1,16,
12,"NI Gershenzon, MR Soltanian, RW Ritzi Jr…",How does the connectivity of open-framework conglomerates within multi-scale hierarchical fluvial architecture affect oil-sweep efficiency in waterflooding?,2015,…,pubs.geoscienceworld.org,https://pubs.geoscienceworld.org/gsa/geosphere/article-abstract/11/6/2049/132369,"https://scholar.google.com/scholar?cites=9942555657698582018&as_sdt=2005&sciodt=0,5&hl=en",12,2.4,3,4,5,"Understanding multi-phase fluid flow and transport processes within aquifers, candidate reservoirs for CO2 sequestration, and petroleum reservoirs requires understanding a diverse set of geologic properties of the aquifer or reservoir, over a wide range of spatial and …"
11,"J Peng, B Key Jr, DR Huck, AD Causey…",Cartridge drive shaft gear,2014,US Patent …,Google Patents,https://patents.google.com/patent/US8644733B2/en,"https://scholar.google.com/scholar?cites=4022033437081967188&as_sdt=2005&sciodt=0,5&hl=en",11,1.83,2,5,6,"Image recording devices, such as electrophotographic devices, laser printers, copiers, and fax machines, often have a cartridge that utilizes a drive gear to transmit rotational force from the printer to the print cartridge. Also, it is desirable to remanufacture print cartridge both to …"
10,"MJ Nicolini, RA Wildes, JE Slawsky, CA Sabjan…",Simplified system backup protection and recovery,2015,US Patent …,Google Patents,https://patents.google.com/patent/US9122711B1/en,"https://scholar.google.com/scholar?cites=11211210969957192926&as_sdt=2005&sciodt=0,5&hl=en",10,2,2,5,5,"A system, method, and medium for automatically identifying, protecting, and recovering the critical services and components of a server. A backup application detects a request to perform a backup operation. In response, the backup application performs a discovery …"
9,"Y Dong, H Zhou, E Shaffer, N Atamas, WC Liao…",The cardiovascular actions of omapatrilat in spontaneously hypertensive rats,2001,Current hypertension …,Springer,https://link.springer.com/article/10.1007/s11906-001-0100-0,"https://scholar.google.com/scholar?cites=15145097155648517115&as_sdt=2005&sciodt=0,5&hl=en",9,0.47,2,6,19,"Omapatrilat is a newly developed vasopeptidase inhibitor that inhibits both angiotensin-converting enzyme (ACE) and neutral endopeptidase and has potent antihypertensive efficacy. However, the specific effect of omapatrilat on cardiac function and left ventricular …"
9,"Z Cheng, E Shaffer, R Yeh, G Zagaris…",Efficient parallel optimization of volume meshes on heterogeneous computing systems,2017,Engineering with …,Springer,https://link.springer.com/article/10.1007/s00366-014-0393-7,"https://scholar.google.com/scholar?cites=8506543304690252912&as_sdt=2005&sciodt=0,5&hl=en",9,3,2,5,3,"We describe a parallel algorithmic framework for optimizing the shape of elements in a simplicial volume mesh. Using fine-grained parallelism and asymmetric multiprocessing on multi-core CPU and modern graphics processing unit hardware simultaneously, we achieve …"
8,"E Shaffer, DA Reed",Real-time immersive performance visualization and steering,2000,ACM SIGGRAPH Computer Graphics,dl.acm.org,https://dl.acm.org/doi/pdf/10.1145/351440.351443,"https://scholar.google.com/scholar?cites=16034227133886329500&as_sdt=2005&sciodt=0,5&hl=en",8,0.4,4,2,20,"Introduction The history of software systems is one of evolving complexity. In the latest inflection point, we have seen high-performance computing become distributed, with multidis- ciplinary applications now running in parallel on heterogeneous systems connected via high-speed …"
7,"D Guoy, T Wilmarth, P Alexander, X Jiao…",Parallel mesh adaptation for highly evolving geometries with application to solid propellant rockets,2008,Proceedings of the 16th …,Springer,https://link.springer.com/chapter/10.1007/978-3-540-75103-8_29,"https://scholar.google.com/scholar?cites=1163243514800969586&as_sdt=2005&sciodt=0,5&hl=en",7,0.58,1,5,12,"We describe our parallel 3-D surface and volume mesh modification strategy for large-scale simulation of physical systems with dynamically changing domain boundaries. Key components include an accurate, robust, and efficient surface propagation scheme, frequent …"
7,"G Zagaris, D Bodony, M Brandyberry…",A collision detection approach to chimera grid assembly for high fidelity simulations of turbofan noise,2010,48th AIAA Aerospace …,arc.aiaa.org,https://arc.aiaa.org/doi/pdf/10.2514/6.2010-836,"https://scholar.google.com/scholar?cites=17998835587301350290&as_sdt=2005&sciodt=0,5&hl=en",7,0.7,2,4,10,"A key advantage of Chimera meshes is their suitability for high fidelity moving grid simulations. However, an inherent requirement and challenge is the need to establish the inter-grid communication with minimal user intervention in an efficient manner, a process …"
5,GE Shaffer,Essays on strategic motives for resale price maintenance,1989,,Princeton University,,"https://scholar.google.com/scholar?cites=24884572450904767&as_sdt=2005&sciodt=0,5&hl=en",5,0.16,5,1,31,
4,"T Xia, E Shaffer",Streaming tetrahedral mesh optimization,2008,Proceedings of the 2008 ACM symposium on Solid and …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1364901.1364940,"https://scholar.google.com/scholar?cites=1807879613067292962&as_sdt=2005&sciodt=0,5&hl=en",4,0.33,2,2,12,Improving the quality of tetrahedral meshes is an important operation in many scientific computing applications. Meshes with badly shaped elements impact both the accuracy and convergence of scientific applications. State-of-the-art mesh improvement techniques rely on …
3,EP Shaffer,"Inhabitation in the Poetry of Robinson Jeffers, Gary Snyder, and Lew Welch",1990,Robinson Jeffers Newsletter,,,"https://scholar.google.com/scholar?cites=11999381919895703539&as_sdt=2005&sciodt=0,5&hl=en",3,0.1,3,1,30,
3,"C Meyer, C Heeren, E Shaffer, J Tedesco",CoMoTo: The collaboration modeling toolkit,2011,Proceedings of the 16th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1999747.1999789,"https://scholar.google.com/scholar?cites=8953787797659893490&as_sdt=2005&sciodt=0,5&hl=en",3,0.33,1,4,9,"We are excited to introduce CoMoTo--the Collaboration Modeling Toolkit--a new, web-based application that expands and enhances well-known software similarity detection systems. CoMoTo is an end-to-end data management, analysis, and visualization system …"
3,"E Shaffer, G Zagaris",GPU accelerated derivative-free mesh optimization,2012,GPU Computing Gems Jade Edition,Elsevier,https://www.sciencedirect.com/science/article/pii/B9780123859631000137,"https://scholar.google.com/scholar?cites=8696145496153023560&as_sdt=2005&sciodt=0,5&hl=en",3,0.38,2,2,8,Publisher Summary This chapter presents a graphics processing unit (GPU)-based implementation of a derivative-free optimization method. The utility of derivative-free optimization is demonstrated in a mesh optimization algorithm that improves the element …
3,"M Kamali, M Stroila, J Cho, E Shaffer…",Robust Classification of Curvilinear and Surface-Like Structures in 3d Point Cloud Data,2011,… Symposium on Visual …,Springer,https://link.springer.com/chapter/10.1007/978-3-642-24028-7_64,"https://scholar.google.com/scholar?cites=15105427860424036154&as_sdt=2005&sciodt=0,5&hl=en",3,0.33,1,5,9,"The classification of 3 d point cloud data is an important component of applications such as map generation and architectural modeling. However, the complexity of the scenes together with the level of noise in the data acquired through mobile laser range-scanning make this …"
2,"J Towns, D Gerstenecker, L Herriott, A Hetrick…",University of Illinois Year of Cyberinfrastructure Final Report,2015,,ideals.illinois.edu,https://www.ideals.illinois.edu/handle/2142/88444,"https://scholar.google.com/scholar?cites=11728265522219091570&as_sdt=2005&sciodt=0,5&hl=en",2,0.4,0,5,5,The University of Illinois at Urbana-Champaign is a leader in computing and information technology (IT). Our leadership role has both produced and been produced by a culture of innovation. Many efforts have arisen over the years that have been the product of this …
2,"E Shaffer, R Aydt, S Whitmore, B Schaeffer",Virtue–A Collaborative Environment for Data Visualization,1999,,… Science at the Unviersity of Illinois …,,"https://scholar.google.com/scholar?cites=11815566581022029931&as_sdt=2005&sciodt=0,5&hl=en",2,0.1,1,4,21,
2,"E Shaffer, Z Cheng, R Yeh, G Zagaris, L Olson",Efficient GPU-based Optimization of Volume Meshes.,2013,PARCO,researchgate.net,https://www.researchgate.net/profile/Luke_Olson/publication/282675717_Efficient_GPU-based_optimization_of_volume_meshes/links/563a1a6c08ae337ef2983968/Efficient-GPU-based-optimization-of-volume-meshes.pdf,"https://scholar.google.com/scholar?cites=5799790697994314650&as_sdt=2005&sciodt=0,5&hl=en",2,0.29,0,5,7,We describe a GPU-based algorithmic framework for optimizing the shape of elements in a simplicial volume. Optimization is done on a per-vertex basis using only local neighborhood information in order to exploit the massive fine-grained parallelism on modern GPU …
2,"E Shaffer, Z Cheng, R Yeh, G Zagaris…",Simple and effective GPU-based mesh optimization,2014,… Science and Engineering …,imr.sandia.gov,https://imr.sandia.gov/papers/imr20/RNShaffer.pdf,"https://scholar.google.com/scholar?cites=9024367752271766192&as_sdt=2005&sciodt=0,5&hl=en",2,0.33,0,5,6,"We present a GPU-based algorithm for optimizing the shape of elements in tetrahedral volume meshes. To exploit the massive parallelism available in modern GPU hardware, optimization occurs on a per-vertex basis using only local neighborhood information. A …"
2,E Shaffer,Library Science and Usability Engineering,2001,Paper presented November,,,"https://scholar.google.com/scholar?cites=11929836536664542370&as_sdt=2005&sciodt=0,5&hl=en",2,0.11,2,1,19,
2,BMLRE Shaffer,Gregory “Does Legal Capacity Matter,2008,Explaining Patterns of Protectionism in the Shadow of …,,,"https://scholar.google.com/scholar?cites=14314093081650395479&as_sdt=2005&sciodt=0,5&hl=en",2,0.17,2,1,12,
1,EJ Shaffer,Granular fertilizer dispenser apparatus,2016,"US Patent 9,363,944",Google Patents,https://patents.google.com/patent/US9363944B2/en,"https://scholar.google.com/scholar?cites=3297300866702411857&as_sdt=2005&sciodt=0,5&hl=en",1,0.25,1,1,4,"The fertilizer dispenser is used on a surface area to be treated. The fertilizer dispenser comprises a main body for storing the fertilizer, a rolling mechanism affixed to the main body, and a control mechanism cooperatively engaged with the main body. Tines extending …"
1,EP Shaffer,"Living at the Monastery, Working in the Kitchen: Poems",2001,,books.google.com,https://books.google.com/books?hl=en&lr=&id=i6mFLPf6DD8C&oi=fnd&pg=PR5&dq=%22eric+shaffer%22&ots=CqCed6XyYU&sig=Tsx80VAXTKD0ZW4OCWRB6e9EnG0,"https://scholar.google.com/scholar?cites=3016445233500880256&as_sdt=2005&sciodt=0,5&hl=en",1,0.05,1,1,19,"Poetry."" How wonderful to discover these lost works in the last leavings of the Twentieth Century. May their author continue to sweep the kitchens, the courtyards, the shrine halls of his always surprising mind. May we continue to share such delightful detritus. And may it …"
1,"TL Noerenberg, DJ Prusak…",Duluth Pump Station/Storage Basin Meets SSO Challenge,2006,… of the Water …,Water Environment Federation,,"https://scholar.google.com/scholar?cites=1600284415483108293&as_sdt=2005&sciodt=0,5&hl=en",1,0.07,0,3,14,
1,EP Shaffer,All come to this: the life and works of Lew Welch in the context of the twentieth century.,1992,,elibrary.ru,https://elibrary.ru/item.asp?id=5838697,"https://scholar.google.com/scholar?cites=17105626631827970594&as_sdt=2005&sciodt=0,5&hl=en",1,0.04,1,1,28,"Degree: Ph. D. DegreeYear: 1991 Institute: University of California, Davis This dissertation examines the works of Welch in the context of contemporary events and thought. The poems are contextualized in order to indicate the source and continuity of his poetry and poetics …"
1,GE Shaffer,Critical duration of grass weed interference in grain sorghum,2016,,krex.k-state.edu,http://krex.k-state.edu/dspace/handle/2097/32615,"https://scholar.google.com/scholar?cites=4060482199565442129&as_sdt=2005&sciodt=0,5&hl=en",1,0.25,1,1,4,The availability of ALS-inhibitor herbicide-resistant grain sorghum hybrids will provide an opportunity to control grass weeds post-emergence with the ALS-inhibiting herbicide nicosulfuron (Zest [superscript] TM). More information on impact of grass weeds on sorghum …
1,"J Miklós-Thal, GE Shaffer",Naked Exclusion with Private Offers,2014,,Simon Graduate School of Business …,,"https://scholar.google.com/scholar?cites=13992399847429959691&as_sdt=2005&sciodt=0,5&hl=en",1,0.17,1,2,6,
1,KE Shaffer,System for monitoring machine fluids by measuring fluctuations in a magnetic field,2019,"US Patent 10,379,082",Google Patents,https://patents.google.com/patent/US10379082B2/en,"https://scholar.google.com/scholar?cites=11298777824414776178&as_sdt=2005&sciodt=0,5&hl=en",1,1,1,1,1,A system for monitoring machine fluids is provided. The system includes a fluid handling unit configured to pump the fluid and the fluid handling unit includes at least one fluid handling element. A magnetic material on the at least one fluid handling element is configured to …
0,"P Alliez, P Atencio, B Azarenok, K Beatty…",Index of Authors and Co-authors,2010,Proceedings of the 19th …,Springer,https://link.springer.com/content/pdf/10.1007/978-3-642-15414-0.pdf#page=422,,0,0,0,5,10,"Index of Authors and Co-authors Alliez, Pierre 335 Atencio, Pedro 195 Azarenok, Boris 35 Beatty, Kirk 49 Bodony, Daniel J. 385 Botsch, Mario 335 Branch, John William 161, 195 Brandyberry, Mark D. 385 Bronson, Jonathan R. 279 Campbell, Michael T. 385 Canino, David …"
0,"L Stark, WS Kim, F Tendick, M Tyler…","Telerobotics: Problems In Display, Control And Communication",1987,Space Station …,spiedigitallibrary.org,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/0729/0000/Telerobotics-Problems-In-Display-Control-And-Communication/10.1117/12.964880.short,,0,0,0,5,33,An experimental telerobotics (TR) simulation is described suitable for studying human operator (HO) performance. Simple manipulator pick-and-place and tracking tasks allowed quantitative comparison of a number of calligraphic display viewing conditions. The Ames …
0,"M Mlsplon, E Moore, S Moore…","TELEROBOTTCS: PROBLEMS IN DISPLAY, CONTROL AND COMMUNICATION",1987,… automation II: 28 …,Society of Photo Optical,,,0,0,0,4,33,
0,EP Shaffer,Travel Notes on Bells in Japan,2012,,ST FRANCIS XAVIER UNIV PO BOX …,,,0,0,0,1,8,
0,EP Shaffer,The Famous Poet's Wife,2006,The North American Review,JSTOR,,,0,0,0,1,14,
0,EP Shaffer,How to Successfully Flee the Storm,2015,,"UNIV LEEDS, SCHOOL ENGLISH …",,,0,0,0,1,5,
0,EP Shaffer,Yogi coaches the Buddha at the bat,2008,Going Down Swinging,search.informit.com.au,https://search.informit.com.au/documentSummary;dn=882074468131279;res=IELLCC,,0,0,0,1,12,"Abstract: Umpires convince us there's truly something behind us, but that's a lie, too. If there ever was a past, it was … To cite this article: Shaffer, Eric Paul. Yogi coaches the Buddha at the bat [online]. Going Down Swinging, No. 26, 2008: 1. Availability: <https://search.informit.com.au …"
0,EP Shaffer,Poetry and Place in Hawai'i: Notes from a Writer and Resident,2017,Western American Literature,muse.jhu.edu,https://muse.jhu.edu/article/678644/summary,,0,0,0,1,3,"In Hawaiian, ke one hānau (pronounced “kay owe-nay HA-now”) means the sands of one's birth, or one's birthplace. In the islands, connection to place and one's status as native is perhaps more important than it is everywhere else. 1 In Hawai 'i, more than anywhere else, I …"
0,EP Shaffer,"Cardinal in February: Kailua, O'ahu",2017,,"UNIV LEEDS, SCHOOL ENGLISH …",,,0,0,0,1,3,
